1010	56241	48700	120	N	5844000
1010	1245	85400	20	I	1708000
1010	6325	152000	45	I	6840000
1010	4712	65210	60	I	3912600
1023	5821	85400	50	I	4270000
1023	65218	96500	230	N	22195000
1041	5241	47890	80	I	3831200
1041	63854	123500	30	I	3705000
1041	3256	147000	50	N	7350000
1052	6321	65780	20	N	1315600
1052	32562	26800	45	I	1206000
1052	1526	45200	60	I	2712000
1052	14256	78500	35	I	2747500
1052	25185	236980	10	N	2369800
1065	96523	50800	10	N	508000
1065	325	9600	50	N	480000
1065	3625	784500	10	I	7845000
1065	4158	855120	10	I	8551200
1065	6589	96500	60	I	5790000
1065	6859	85000	30	I	2550000
1065	5869	748000	10	I	7480000
1065	6958	96500	20	N	1930000
1065	9658	5600	45	N	252000
1065	452	78200	50	N	3910000
1065	6254	86000	5	N	430000
1181	6352	485200	20	I	9704000
1181	4152	632500	50	N	31625000
1181	652	65200	60	N	3912000
1181	6521	48500	10	I	485000
1245	9658	56300	10	I	563000
1245	632	96530	50	I	4826500
1245	6652	85420	120	N	10250400
2352	4158	855120	10	I	8551200
2352	6589	96500	60	I	5790000
2352	6859	85000	30	I	2550000
2352	5869	748000	10	I	7480000
2352	6958	96500	20	N	1930000
2352	9658	5600	45	N	252000
2352	452	78200	50	N	3910000
2352	6254	86000	5	N	430000
2448	32562	26800	45	I	1206000
2448	1526	45200	60	I	2712000
2448	14256	78500	35	I	2747500
2448	25185	236980	10	N	2369800
2510	1245	85400	20	N	1708000
2510	6325	152000	45	I	6840000
